    ,Serial Number,Course Name,Course Code,Course Acronym,Prerequisites,Preferable_Prerequisites,Antirequisites,Semester,Professor,Credits,Cluster,OptionalDept,embed_link
,1,User Experience Design and UI Design, DES537A,,,,None,Summer,Anmol Srivastava,2,HCD,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQ_F2YSqQXaZ06obibvXhjykc5c3mgqmrMUd_VA7GsGikRUjS0ujM9a5sJE0hqh_w/pubhtml?widget=true&amp;headers=false""></iframe>"
,2,"Image, Screen, Interface", Sankha S Basu,ISI,1 SSH Class at 2xx ,1 SOC class ,None,Winter,Deepak Prince,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTRVPSH41nIw7qp8kDvhf_dDtbX67FHJVkUm4j1trZrk-zo1fgRoo7AzoCnoyWFzw/pubhtml?gid=720965356&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,,Introduction to Deep Learning,AI 203,,Introduction to Machine Learning or Machine Learning,"Math-I & II; Signals & System, Python Programming	",Machine Learning for Biomedical Applications,Monsoon,,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQnXRnWuvzwdwOZlg43_JkqoaX4X-qSJ4LqRioP1SRLr-WUFb1Qgt3zvPFlPnTO_A/pubhtml?widget=true&amp;headers=false""></iframe>"
,,Introduction to Machine Learning,AI201,,"Math - I
Math -  II","Intro to Programming, Python Programming        ",None,Monsoon,"Shad Akhtar, Jainendra",4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTbM1SHRj5thj-1JtPC55BTfyC7kI72CplFdXOGA8XT0P78NjEnPI_J_48iKtDTE3exZ7uE7zFlFS1c/pubhtml?widget=true&amp;headers=false""></iframe>"
,5,Machine Learning,AI501 / ECE363 / ECE563 / CSE343/ CSE543,ML,"Math - I
Math -  II
Intro to Programming","Math- III, Signals & Systems, Python Programming	","Introduction to Machine Learning, Machine Learning for Biomedical Applications",Monsoon/Winter,"Saket Anand, Vinayank Abrol",4,CSE/ECE,ECE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRDg_DkVXK_42B9ENKgA-atp1r2aGxqZtVTk9mJIR0fkhcZ8GSCqP92I0L81nO4Mistgd9vGLGRkGcu/pubhtml?widget=true&amp;headers=false""></iframe>"
,6,Deep Learning,AI502 / CSE641 / ECE553,DL,Machine Learning or Introduction to Machine Learning,"Math-I, Math-2 & Math-3; Signals & System, Python Programming	","Introduction to Deep Learning, Machine Learning for Biomedical Applications",Winter,Vinayak Abrol,4,CSE,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTUKFN4RAkzi52BYwYfP7AT6n8NTzADyjoihJhVycYx7yUEUFJLSQSbnUSMbTqxfA/pubhtml?widget=true&amp;headers=false""></iframe>"
,7,Foundations of Biology,BIO101,FOB,None,None,None,Winter,Ganesh Bagler,4,BIO,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQZyQdcTzRSTTdex_nZyO2XIHGYQsNi5quu2-4SMngwINszA4XB-ZJXlwF_ETdpaBgSACl2l3EKZcMd/pubhtml?widget=true&amp;headers=false""></iframe>"
,2,Foundations of Biology-I,BIO102,,None,None,None,Winter,Jaspreet Kaur Dhanjal,4,CB,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQ_1As-6k1beEfnbkwc0nESgj-Ktn0a18Qm_mJ7O1x0NingoTaHE34u3AvVaO4RCQ/pubhtml?widget=true&amp;headers=false""></iframe>"
,9,Foundations of Biology II,BIO201,,None,None,None,Monsoon,Gaurav Ahuja,4,CB,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQPV3Q6Y8gYC-vvdkCg4_MXVbZbeX7FVh12fAkn04bsTu_EctFWnCEkbnn3DNZX_g/pubhtml?widget=true&amp;headers=false""></iframe>"
,3,Cell Biology and Bio-Chemistry,BIO211,CBB,None,None,None,Monsoon,Jaspreet Kaur Dhanjal,4,BIO,None,"<iframe src=""https://docs.google.com/spreadsheets/d/1N1fhCwaaBxHzdS2km-KrEUg4lZzlwKZN/pubhtml?widget=true&amp;headers=false""></iframe>"
,11,Introduction to Quantitative Biology,BIO213,IQB,MTH100,"Familiarity with MATLAB, Basic Calculus",None,Winter,G P S Raghava,4,BIO,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTNK82nmg34cFhO9WX5ZR7dCmZVPg_wU1q5YTzQi-S-tebvkhipxVzWi5h9cb1BD8nz3zcPC3pxpw5h/pubhtml?gid=1849019140&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,4,Genetics and Molecular Biology,BIO214,GMB,None,None,None,Monsoon,Gaurav Ahuja,4,BIO,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSY5emyA2KdL8CnJ9b4TGHlMmM6_u37GiQK9nuTKVKvJ-1JWuzjeNIgO_0hMr0v2GX4iz1JoHqYW1Gw/pubhtml?gid=1101101345&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,13,Practical Bioinformatics,BIO221,PB,None,"Data Structures and Algorithms, Basic understanding of Python and/or R programming",BIO222,Winter,Tavpritesh Sethi,4,BIO,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vS4seIwHx4yxXglnT4DUYwuk8lfTLorYh1pBeTC75iRBh7gbhSoS0U0bRJWZ_GFQK4tiPxAnVoz__i2/pubhtml?widget=true&amp;headers=false""></iframe>"
,5,Foundations of Biomedical Informatics,BIO222,,None,"Basic understanding of programming and statistics(Desirable)Basic understanding of health and disease
",BIO221,Winter,Tavpritesh Sethi,4,CB,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTTfWNWLfVStgkRqNjvu3ith6dFsv56B9nOMfxyvWEwAqQ4NHmiGHCCveghV9FYRQ/pubhtml?widget=true&amp;headers=false""></iframe>"
,15,Algorithms in Bioinformatics,BIO321,ABIN,One programming course,Molecular biology course,None,Monsoon,Debarka Sengupta,4,BIO,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTorvpRI_q97bcGr2r9kZ6jTf_6gxcrWHprxBkFF1A9D88OWtxcMrChUNjlJKbowQ/pubhtml?widget=true&amp;headers=false""></iframe>"
,6,Biophysics,BIO361,BioP,None,"Basic knowledge of biology, chemistry, physics and python",None,Monsoon,Arjun Ray,4,BIO,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQYwmzGSNa7HFoZL6ysgh7fLi6UgLR39H7kQqTyFzfndGZR2GWAgBQkDhFhu7eZGwGYwBfr07kSNd8M/pubhtml?gid=1719690183&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,17,Stochastic Simulations in Systems Biology and Biophysics,BIO506,SSSBB,BIO531,None,None,Monsoon,Information not available,4,BIO,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTyoEEKe6EpCTngUW-Z9fO5moHYq88VsrpeKn33qep3ibwU8KJ0BGJL2f1m8TiUDw/pubhtml?widget=true&amp;headers=false""></iframe>"
,7,Cell Biology and Bio-Chemistry,BIO511,CBB,None,None,BIO211,Monsoon,Shriram K,4,BIO,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTj1jx0wbos376anz8fXIHj4GB1QllY-_L181H3XGB-F4lFiV8g8lOTZU8Jzu0JwA/pubhtml?widget=true&amp;headers=false""></iframe>"
,19,Foundations of Modern Biology,BIO512,FOMB,None,None,"BIO601, BIO214",Monsoon,Vibhor Kumar,4,BIO,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRbaPaDKS1r57xvHqlG7uGaVEA_P5_4IYfZUpJKbpTCEFmiVF7fhpoA3wD-F-IuO-hbarCCw2Y55_i4/pubhtml?gid=1329925911&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,8,Introduction to Bioenergetics,BIO513,,None,None,,None,Anindita Das ,4,CB,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSu4XGoit1vLSbRix3z5XGm0GVk530_Ey4Q90sEgOe_9n3cFYfWi_tqnZ7_NeX1wQ/pubhtml?gid=1177985762&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,21,Cellular biophysics,BIO516,,None,Foundations of Biology (BIO101) or equivalent for PG,None,Winter,Anindita Das ,4,CB,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQl7ce-YD_uVDPJZUuvNEqIQcECPtPe8iCBOjBGyTznwKS6Vq3P5KyY4xLt5_Y53g/pubhtml?widget=true&amp;headers=false""></iframe>"
,9,Algorithms in Computational Biology,BIO522,ACB,None,Familiarity with structural programming and molecular biology,BIO321,Monsoon,Debarka Sengupta,4,BIO,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vT9e0a61YaJsARzEIFlU-RiIy6dqwHlOU9MLJIJVxAyFpvnP3gLNMbbe8cocpYdAHIrEhZQydGxaoRZ/pubhtml?gid=632469549&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,23,Chemoinformatics,BIO523,CHI,None,"Knowledge of chemistry, algorithms, programming and machine learning",None,Winter,Information not available,4,BIO,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRKoIjIJBAq27j_s3FEay3KGdT46No-HJhXpuf--krgfcDtshb8ewA-qxdosgNMRgr4DzKHkpqZdfZ6/pubhtml?gid=539481389&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,10,Biomedical Image processing,BIO524,BIP,None,CSE340/ECE340,None,Monsoon,Vibhor Kumar,4,BIO,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRBAdBuRg6zLJddV5HaJ1QHcKg4-VtiNUkNUFzyj8mpx5juN1bee6AAMm9XmRX5Ew/pubhtml?widget=true&amp;headers=false""></iframe>"
,25,Introduction to Bioinspired Algorithms and Optimal Control,BIO525,,,Basic knowledge of differential equations ,None,Winter,Garima Rani,2,CB,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTMxrl4A3FTOpKcOgYkUx8lzeLLskhCwhmpIb1vUHvZNLXuzTYCnmQjAqwqJWjQtA/pubhtml?widget=true&amp;headers=false""></iframe>"
,11,Introduction to Mathematical Biology,BIO531,IMB,MTH100,"Molecular biology and biochemistry, cell biology",BIO303/BIO503,Winter,Sriram K,4,BIO,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTyoEEKe6EpCTngUW-Z9fO5moHYq88VsrpeKn33qep3ibwU8KJ0BGJL2f1m8TiUDw/pubhtml?widget=true&amp;headers=false""></iframe>"
,27,Network Biology,BIO532,NB,None,"Knowledge of data structures, algorithms and programming, Basic understanding of biology",None,Monsoon,Ganesh Bagler,4,BIO,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSuVWvwGECeJhvof2SziaGXkM5UknJ0WRzT8tQ3w_KHvJX4ZfpnAvXb6_7lVsK8gE1TTDI3yuhB5PD2/pubhtml?gid=344803429&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,12,Systems and Synthetic Biology,BIO533,S&SB,"""BIO531,BIO501""",Probability and Statistics,None,Winter,Sriram K,4,BIO,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQ8H2o-54AtH4Gwfamz9W9MDPoDD47prwCHyXTZJ20zEjpZSw5gBS2Uhjgc5Hnx0lWUM3rIbaEPIBtj/pubhtml?gid=1292671469&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,29,Introduction to Computational Neuroscience,BIO534,ICN,None,"Calculus, linear algebra and ODE/PDE and coding in MATLAB",BIO505,Winter,Sriram K,4,BIO,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQu31c3jXa0ueaUl7eMDpgNSCq9qGC2id-p8Gwp9fkwOUh6Lu9A6ewpTJjVAuSFKLGpkeXt-HHjs_fk/pubhtml?gid=1136511436&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,13,Data Sciences for Genomics,BIO541,DSG,None,None,None,Winter,Vibhor Kumar,4,BIO,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTpP6Op5K-W7OJgg6y8AYoFizy9vZWoJ_oW-yJ3P_HxnLcSPLj5lbHOwKNpMOu58vPbzCiyzA5BYWiv/pubhtml?gid=326282335&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,31,Machine Learning for Biomedical Applications,BIO542,MLBA,None,None,None,Monsoon,GPS Raghava,4,BIO,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vR26SxePvH7xTmYV22tpsfd_Bnrx-Lja7Vi5NBZ8UjqKZdXvxo28Us2kYlko465EQ/pubhtml?widget=true&amp;headers=false""></iframe>"
,14,Big Data Mining in Healthcare,BIO543,BDMH,None,Basic knowledge of statistics and programming,None,Winter,GPS Raghava,4,BIO,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vR5w9sPJVmitZ4TN8QFTHpzrPvtI_XejfvyaCxQqTi1RczqSd1ZxvhPFQer4u_hKg/pubhtml?widget=true&amp;headers=false""></iframe>"
,33,Computational Gastronomy,BIO544,CGAS,None,"A good command on programming (Python) and data analysis. Exposure to statistical analysis, data visualization, machine learning and natural language processing.",None,Monsoon,Ganesh Bagler,4,BIO,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRhBNpDTTR0znvSZ8X-iPJh1pePNyEEG5J6-qhS49lRar22uPX6e4fJqKRIskFNAnRdMcEIKOlGMsJ9/pubhtml?gid=314307993&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,15,Biostatistics,BIO545,BioStats,None,Basic Biology Knowledge,None,Winter,Gaurav Ahuja,4,BIO,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vT4NIH4eotZuQScTYUY7gV9pIYXNzu78d11XgbiyN6UeyFkgOzM-4aQ3_tRSOrYJ08EpC8blW0lGhP7/pubhtml?gid=2102693669&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,35,Computing for Medicine,BIO546/CSE585,CM,None,None,None,Monsoon,"Ponnurangam Kumaraguru, Tavpritesh Sethi",4,BIO,CSE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vS1XroyQBEq1-0G_uovd_APFhO3DtylBazeJ78E2WP7hnWtWAxTyNWJ0nnNtkNKRuWLn6C3V-l5b_Ly/pubhtml?gid=1679481713&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
